names,scores,logfoldchanges,pvals,pvals_adj
SLC5A3,-1.2450397,-0.741746,0.21311713746551808,0.7664081660217184
C5orf49,-1.2451264,-2.473535,0.21308530821247829,0.7663758784804393
APC,-1.2451696,-0.31956038,0.21306939487291954,0.7663758784804393
ATG14,-1.2455161,-0.8029142,0.21294211904134985,0.7660251837829875
MCU,-1.2461222,-0.90617466,0.21271951843543213,0.7653065017472134
CIT,-1.2465552,-0.8401378,0.21256062091610906,0.7648168763313449
CYP4F11,-1.2465986,-1.6300752,0.212544735880289,0.7648168763313449
RPL10A,-1.2478975,-0.13447809,0.2120685834266397,0.7632102318878251
AMY2B,-1.2479408,-2.4730628,0.21205272496281613,0.7632102318878251
RND1,-1.2480274,-2.1641996,0.21202101060584155,0.7632028178274889
LAMA1,-1.248114,-2.700872,0.21198929967631996,0.7631705809944632
PLSCR4,-1.2482439,0.018164245,0.21194173970822194,0.76308127389526
ATP6V0A4,-1.2483305,-1.2986816,0.21191003734675284,0.7630490479423875
FRY,-1.2485904,-0.4307094,0.2118149508237468,0.7627885558602834
SLC39A3,-1.2490233,-0.51164883,0.21165654181543825,0.7622999462420713
U62317.2,-1.2490666,-3.4112382,0.21164070562552917,0.7622999462420713
EGFLAM,-1.2491965,-0.05428797,0.21159320219452515,0.7622355333190102
LARP6,-1.2491965,-0.77715844,0.21159320219452515,0.7622355333190102
AC009283.1,-1.2495862,-3.5398924,0.21145073814611903,0.7618859965561388
STC1,-1.2504522,-0.5307352,0.21113439967101522,0.7608279248056848
NINJ2,-1.2506688,-0.2831523,0.2110553685531682,0.7606248603627934
ACTA2,-1.251275,-0.17380747,0.21083419524428748,0.7599094293501251
FTL,-1.2516214,-0.077771045,0.21070788579329658,0.759535798982758
CDYL2,-1.2524008,-1.1112927,0.2104238896976861,0.7585936163260235
AHI1,-1.2524873,-0.22054498,0.21039235168129033,0.7585614588999263
UVRAG,-1.2527038,0.2100273,0.21031352160502126,0.7583587665400713
ADGRG5,-1.252747,-0.6384509,0.2102977581550135,0.7583587665400713
ZCCHC7,-1.2529635,-0.14334029,0.21021895373028066,0.7581808011835846
GPATCH11,-1.2530069,-0.90318334,0.21020319541027743,0.7581808011835846
GGT5,-1.2530069,0.13976002,0.21020319541027743,0.7581808011835846
TSC1,-1.2532667,0.05532273,0.2101086634434456,0.7580275768681453
SLC38A7,-1.2538729,-0.27433074,0.20988820852557355,0.7573136888144901
EVI5,-1.2541327,-0.16659369,0.20979377912545671,0.7570544183677176
ELOVL7,-1.2549121,-0.07262069,0.20951067548317637,0.756114175654231
CYB561D2-1,-1.2550852,-1.1067424,0.20944780115088357,0.7559686133231095
EVI2B,-1.2556915,0.009720418,0.20922784860121624,0.7552560097285104
GDAP2,-1.2556915,-0.41196507,0.20922784860121624,0.7552560097285104
ZNF549,-1.2556915,-2.4692998,0.20922784860121624,0.7552560097285104
BLZF1,-1.2569039,-0.52484745,0.2087884455444562,0.7539133168249323
PLEKHG1,-1.2575101,-0.3492756,0.20856899494398862,0.7532019976775589
NEU3,-1.2578132,-0.68421984,0.20845933235526426,0.7528870437788986
C1orf53,-1.2579863,-0.71044457,0.2083966867865109,0.7527418504519121
UBXN10,-1.2581595,-0.8171559,0.2083340548655973,0.7525966751489016
NGRN,-1.2583327,-1.2895045,0.20827143659142888,0.7524515178717378
MMP14,-1.2585492,-0.14379437,0.20819318293778466,0.7522498350966841
GATB,-1.2593286,-0.06250159,0.20791164629215375,0.7513135215328361
LTBP1,-1.2599349,0.08186518,0.20769286430142253,0.7506038020410677
CD300A,-1.260108,0.0989068,0.20763038584312787,0.7504588727671972
IP6K3,-1.2609308,-1.2533234,0.20733379934201757,0.7494676613852754
TSTD2,-1.2611473,-0.31121883,0.2072558013769128,0.7492664726289643
