names,scores,logfoldchanges,pvals,pvals_adj
ZNF703,1.7087379,0.18637334,0.08749951492858445,1.0
METTL27,1.7085879,0.52214384,0.08752732326522104,1.0
ATP5PD,1.7083378,0.24002658,0.08757368633729426,1.0
ELP3,1.7078377,0.34563246,0.08766647191776343,1.0
SUSD4,1.7075876,0.2902275,0.08771289443728522,1.0
AXIN1,1.7073375,0.23641984,0.08775933678374888,1.0
ARMC1,1.7069874,0.54133177,0.08782438938865164,1.0
ANAPC16,1.7062372,0.21500173,0.08796391879323598,1.0
CUL4A,1.7057871,0.20842549,0.0880477222085242,1.0
UBE2I,1.7050369,0.16323426,0.0881875376256884,1.0
AMZ2,1.7044867,0.20743036,0.08829018265775145,1.0
NSD3,1.7044368,0.25521922,0.08829951879843145,1.0
RIN2,1.7043368,0.34765276,0.08831819346747888,1.0
TMEM209,1.7042867,0.68400604,0.0883275319959352,1.0
GPRC5B,1.7035866,0.8212781,0.08845835499607917,1.0
UGP2,1.7027364,0.23898898,0.08861742142189014,1.0
TRAPPC8,1.701436,0.4996753,0.08886114530245788,1.0
ORMDL2,1.7003857,0.20231192,0.08905839325383717,1.0
VBP1,1.7001357,0.2938866,0.08910540900282762,1.0
GDE1,1.6995856,0.28401798,0.08920891403259569,1.0
PIP4K2C,1.6989853,0.22924666,0.08932193903955898,1.0
OCRL,1.6981351,0.35730317,0.08948225519744046,1.0
EIF4A3,1.6967348,0.26663035,0.08974681037816619,1.0
